date,fips,value
2008-01-02,01,0.05367418206786151
2008-01-02,02,16.21120854535521
2008-01-02,04,10.014108780255999
2008-01-02,05,0.6212421113023524
2008-01-02,06,139.74176703843773
2008-01-02,08,7.441727139704452
2008-01-02,09,17.2
2008-01-02,10,0.45714285714285713
2008-01-02,11,0.0
2008-01-02,12,7.188923875301836
2008-01-02,13,0.20230379917673255
2008-01-02,15,50.83255432903496
2008-01-02,16,33.88132728704757
2008-01-02,17,10.381784578365338
2008-01-02,18,17.65119805808265
2008-01-02,19,2.509150787542628
2008-01-02,20,0.0472725058499117
2008-01-02,21,5.2469221321688675
2008-01-02,22,0.20796096558808425
2008-01-02,23,41.40423197492163
2008-01-02,24,1.006637499199795
2008-01-02,25,15.363897296733123
2008-01-02,26,17.1129241623834
2008-01-02,27,0.1778702622041826
2008-01-02,28,0.8442622950819674
2008-01-02,29,1.0340003019346742
2008-01-02,30,9.334145527354707
2008-01-02,31,0.048285714285714286
2008-01-02,32,48.823870079823834
2008-01-02,33,24.884615384615383
2008-01-02,34,5.755555555555556
2008-01-02,35,1.8624492460263078
2008-01-02,36,15.113018254250155
2008-01-02,37,1.2741831351906159
2008-01-02,38,0.31499217963608206
2008-01-02,39,11.671757763086191
2008-01-02,40,0.5592584892584893
2008-01-02,41,83.95716563815431
2008-01-02,42,10.021270305406214
2008-01-02,44,9.42222222222222
2008-01-02,45,0.030825242718446604
2008-01-02,46,0.233532696967749
2008-01-02,47,1.0354081099267554
2008-01-02,48,0.12150519930435152
2008-01-02,49,39.46972875302128
2008-01-02,50,22.07864825930372
2008-01-02,51,0.7994699271412327
2008-01-02,53,76.17326003719197
2008-01-02,54,13.676075587483357
2008-01-02,55,0.6102093509270734
2008-01-02,56,10.836376269836688
2008-01-02,72,13.659213250517599
2008-01-09,01,52.88751048066455
2008-01-09,02,18.30970326269696
2008-01-09,04,34.75251402119172
2008-01-09,05,24.167107880603965
2008-01-09,06,49.46160294827024
2008-01-09,08,20.453248424096056
2008-01-09,09,35.34782608695652
2008-01-09,10,22.081632653061227
2008-01-09,11,18.785714285714285
2008-01-09,12,5.248055584195468
2008-01-09,13,27.910839395463377
2008-01-09,15,7.28755603766827
2008-01-09,16,47.40670427469302
2008-01-09,17,64.93086408662282
2008-01-09,18,96.55900901113607
2008-01-09,19,8.851416562013512
2008-01-09,20,7.8109336634255015
2008-01-09,21,67.63895994182427
2008-01-09,22,27.72711003346608
2008-01-09,23,26.838502015226148
2008-01-09,24,19.24943668818465
2008-01-09,25,34.2010323010323
2008-01-09,26,55.00518642912357
2008-01-09,27,2.7477674309803817
2008-01-09,28,44.86236972248462
2008-01-09,29,53.35648751489584
2008-01-09,30,10.349010708062478
2008-01-09,31,1.4630184965021389
2008-01-09,32,17.590873488964622
2008-01-09,33,27.112637362637365
2008-01-09,34,25.665800865800865
2008-01-09,35,10.675325741433696
2008-01-09,36,25.826110293926053
2008-01-09,37,19.043483067799418
2008-01-09,38,0.45097976846127913
2008-01-09,39,53.14844999222917
2008-01-09,40,12.550095412424536
2008-01-09,41,106.94110967463116
2008-01-09,42,28.093705387472493
2008-01-09,44,34.76190476190476
2008-01-09,45,25.53985024430484
2008-01-09,46,0.2780765392525145
2008-01-09,47,64.4306471182852
2008-01-09,48,2.8493576008749533
2008-01-09,49,34.88007798709851
2008-01-09,50,28.702228319899387
2008-01-09,51,19.293130013626442
2008-01-09,53,98.05053218808389
2008-01-09,54,54.197686521250624
2008-01-09,55,27.435840140560003
2008-01-09,56,11.338145184550987
2008-01-09,72,47.04738400374971
2008-01-16,01,32.89024072070162
2008-01-16,02,37.247865401467
2008-01-16,04,0.26462011391032625
2008-01-16,05,6.1005688463613525
2008-01-16,06,0.559895903686772
2008-01-16,08,3.804500048122185
2008-01-16,09,32.6583850931677
2008-01-16,10,37.3265306122449
2008-01-16,11,25.892857142857142
2008-01-16,12,44.23027590902243
2008-01-16,13,51.50771830091795
2008-01-16,15,14.478872186610115
2008-01-16,16,9.647573332889525
2008-01-16,17,2.204744939851389
2008-01-16,18,6.161189132414849
2008-01-16,19,7.975380561454807
2008-01-16,20,6.485282526279458
2008-01-16,21,10.088044193935508
2008-01-16,22,75.66803896712265
2008-01-16,23,38.12085759068517
2008-01-16,24,31.680512403829596
2008-01-16,25,39.89755355030541
2008-01-16,26,17.472325829791366
2008-01-16,27,2.368482065532166
2008-01-16,28,20.57114291847964
2008-01-16,29,3.4635263885724394
2008-01-16,30,12.771887719567781
2008-01-16,31,2.250137678287588
2008-01-16,32,0.40315879688082484
2008-01-16,33,29.499151045033397
2008-01-16,34,39.43029943478449
2008-01-16,35,0.5025030073397402
2008-01-16,36,17.84938146851835
2008-01-16,37,26.793439681590154
2008-01-16,38,1.3462142536738508
2008-01-16,39,8.227011333220421
2008-01-16,40,2.067197248298666
2008-01-16,41,15.130983206294102
2008-01-16,42,17.212795446872992
2008-01-16,44,45.089285714285715
2008-01-16,45,50.270107947923925
2008-01-16,46,2.8366185859836817
2008-01-16,47,11.379252364577537
2008-01-16,48,23.662654202898164
2008-01-16,49,3.7801862120566554
2008-01-16,50,16.798992739953125
2008-01-16,51,24.29982737195026
2008-01-16,53,27.758546794268057
2008-01-16,54,17.731783684780897
2008-01-16,55,12.825893482688198
2008-01-16,56,9.319422776810317
2008-01-16,72,18.336441426288786
2008-01-23,01,30.14841483111203
2008-01-23,02,28.16827483561067
2008-01-23,04,5.100770495337171
2008-01-23,05,11.80312063229798
2008-01-23,06,74.94612511541554
2008-01-23,08,5.031767731271415
